mine_name,state,district,mine_type,shaft_depth_m_in_progress,notes
Balaghat,Madhya Pradesh,Balaghat,underground_mechanised,750,largest MOIL underground mine; overhand cut-and-fill with sand stowing
Ukwa,Madhya Pradesh,Balaghat,underground,NA,support system co-designed with CSIR-CIMFR
Chikla,Maharashtra,Bhandara,underground,169,rocker shovel and UDM drilling introduced
Kandri,Maharashtra,Nagpur,underground,245,hydraulic sand stowing introduced replacing manual filling
Mansar,Maharashtra,Nagpur,underground,160,shaft sinking in progress
Gumgaon,Maharashtra,Nagpur,underground,330,UDM drilling introduced; precast concrete supports installed
Tirodi,Maharashtra,Balaghat/Bhandara area,opencast_mechanised,NA,benches 7.5m overburden/6m ore height
Dongri Buzurg,Maharashtra,Bhandara,beneficiation_plant,NA,integrated beneficiation plant 4 lakh tonnes/yr + EMD plant
Bharveli,Madhya Pradesh,Balaghat,ferromanganese_plant,NA,10000 tpy ferromanganese plant, ore spec Mn 46-48%
